,data,ministro,discurso_posse,link_bio,link_discurso
24,24/09/1962,Hermes Lima,YES,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/416,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/61-ministros-das-relacoes-exteriores/143-hermes-lima
25,16/07/1962,Afonso Arinos de Melo Franco,YES,http://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/430,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/61-ministros-das-relacoes-exteriores/141-afonso-arinos-de-melo-franco
26,11/09/1961,Francisco Clementino de San Tiago Dantas,YES,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/417,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/61-ministros-das-relacoes-exteriores/142-francis-clemente-de-san-tiago-dantas
27,31/01/1961,Afonso Arinos de Melo Franco,YES,http://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/430,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/61-ministros-das-relacoes-exteriores/141-afonso-arinos-de-melo-franco
28,10/08/1959,Horácio Lafer,YES,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/418,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/61-ministros-das-relacoes-exteriores/140-horacio-lafer
29,03/07/1958,Francisco Negrão de Lima,YES,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/419,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/61-ministros-das-relacoes-exteriores/139-francisco-negrao-de-lima
30,12/11/1955,José Carlos de Macedo Soares,YES,http://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/432,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/61-ministros-das-relacoes-exteriores/138-jose-carlos-de-macedo-soares
31,26/08/1954,Raul Fernandes,YES,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/324,http://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores?id=442
32,03/07/1953,Vicente Rao,YES,http://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/431,http://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores?id=441
33,01/02/1951,João Neves da Fontoura,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/325,NA
34,07/12/1946,Raul Fernandes,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/324,NA
35,02/02/1946,João Neves da Fontoura,YES,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/325,http://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/61-ministros-das-relacoes-exteriores/440
36,23/08/1944,Pedro Leão Veloso,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/326,NA
37,15/03/1938,Oswaldo Euclides de Souza Aranha,YES,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/420,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/61-ministros-das-relacoes-exteriores/136-oswaldo-aranha
38,01/12/1936,Mário de Pimentel Brandão,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/327,NA
39,26/07/1934,José Carlos de Macedo Soares,YES,http://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/432,http://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores?id=443
40,28/12/1934,Félix de Barros Cavalcanti de Lacerda,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/329,NA
